team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
FLA,2025,53803.0,15.0,402.96000000000004,318.0,-0.870000000000001,2.0,0.7891602144133412,-0.0009702061223351868
LAK,2021,297575.0,85.0,2366.45,2111.0,9.790000000000017,3.0,0.8920534978554375,0.001973956145509539
LAK,2022,288294.0,86.0,2478.58,2181.0,8.149999999999999,3.0,0.8799393200945703,0.0016961851443318277
LAK,2023,295015.0,86.0,2410.94,2087.0,21.90000000000001,3.0,0.8656374692028835,0.00445401081300951
LAK,2024,295213.0,86.0,2321.92,1890.0,11.88000000000001,4.0,0.813981532524807,0.002414527815509481
LAK,2025,58284.0,16.0,470.38,395.0,6.200000000000001,2.0,0.8397465878651303,0.006382540662960677
MIN,2021,368955.0,105.0,3096.96,2929.0,-23.450000000000017,2.0,0.9457661706964249,-0.0038134731877871313
MIN,2022,297913.0,85.0,2521.87,2333.0,30.710000000000008,2.0,0.9251071625420819,0.006185027172362403
MIN,2023,296310.0,88.0,2535.8599999999997,2177.0,-18.620000000000005,3.0,0.8584858785579647,-0.0037703756201275702
MIN,2024,295877.0,86.0,2618.5099999999998,2192.0,4.539999999999995,3.0,0.837117291895009,0.0009206528388485745
MIN,2025,61566.0,17.0,554.04,458.0,2.4300000000000015,2.0,0.8266551151541406,0.0023681902348698975
MTL,2021,283632.0,91.0,2635.74,2415.0,-39.500000000000014,5.0,0.9162512235652986,-0.008355897783042819
MTL,2022,295371.0,85.0,2746.42,2448.0,8.699999999999989,3.0,0.8913421836427058,0.0017672689600536251
MTL,2023,225216.0,64.0,2137.1400000000003,1845.0,6.920000000000002,2.0,0.8633032931862207,0.0018435635123614667
MTL,2024,295948.0,89.0,2688.1099999999997,2122.0,24.150000000000006,3.0,0.789402219403224,0.004896130401286714
MTL,2025,54723.0,15.0,450.01,361.0,-0.1700000000000017,2.0,0.8022043954578787,-0.00018639328984156758
NJD,2021,300473.0,97.0,2581.42,2300.0,-54.0,6.0,0.8909824825096264,-0.010782998805217109
NJD,2022,296548.0,92.0,2391.85,2093.0,12.389999999999993,3.0,0.8750548738424233,0.0025068454348031333
NJD,2023,465067.0,143.0,4300.49,3680.0,-17.360000000000007,5.0,0.8557164416147928,-0.00223967729380928
NJD,2024,294242.0,86.0,2447.11,1944.0,26.800000000000008,3.0,0.7944064631340643,0.005464889444742764
NJD,2025,54245.0,16.0,460.46000000000004,384.0,2.540000000000001,3.0,0.8339486600356165,0.0028094755276984063
NSH,2021,295924.0,87.0,2576.33,2397.0,10.769999999999994,3.0,0.9303932337860445,0.002183668779821845
